year,spring_equinox,summer_solstice,fall_equinox,winter_solstice
2058,2058-03-20T09:04:00,2058-06-21T02:03:00,2058-09-22T18:07:00,2058-12-21T15:24:00
2059,2059-03-20T14:44:00,2059-06-21T07:47:00,2059-09-23T00:03:00,2059-12-21T21:18:00
2060,2060-03-19T20:37:00,2060-06-20T13:44:00,2060-09-22T05:47:00,2060-12-21T03:00:00
2061,2061-03-20T02:26:00,2061-06-20T19:33:00,2061-09-22T11:31:00,2061-12-21T08:49:00
2062,2062-03-20T08:07:00,2062-06-21T01:10:00,2062-09-22T17:19:00,2062-12-21T14:42:00
2063,2063-03-20T13:59:00,2063-06-21T07:02:00,2063-09-22T23:08:00,2063-12-21T20:22:00
2064,2064-03-19T19:40:00,2064-06-20T12:47:00,2064-09-22T04:58:00,2064-12-21T02:10:00
2065,2065-03-20T01:27:00,2065-06-20T18:31:00,2065-09-22T10:41:00,2065-12-21T07:59:00
2066,2066-03-20T07:19:00,2066-06-21T00:16:00,2066-09-22T16:27:00,2066-12-21T13:45:00
2067,2067-03-20T12:55:00,2067-06-21T05:56:00,2067-09-22T22:20:00,2067-12-21T19:44:00
2068,2068-03-19T18:51:00,2068-06-20T11:55:00,2068-09-22T04:09:00,2068-12-21T01:34:00
2069,2069-03-20T00:44:00,2069-06-20T17:40:00,2069-09-22T09:51:00,2069-12-21T07:21:00
2070,2070-03-20T06:35:00,2070-06-20T23:22:00,2070-09-22T15:45:00,2070-12-21T13:19:00
2071,2071-03-20T12:36:00,2071-06-21T05:21:00,2071-09-22T21:39:00,2071-12-21T19:05:00
2072,2072-03-19T18:19:00,2072-06-20T11:12:00,2072-09-22T03:26:00,2072-12-21T00:54:00
2073,2073-03-20T00:12:00,2073-06-20T17:06:00,2073-09-22T09:14:00,2073-12-21T06:50:00
2074,2074-03-20T06:09:00,2074-06-20T22:59:00,2074-09-22T15:04:00,2074-12-21T12:36:00
2075,2075-03-20T11:48:00,2075-06-21T04:41:00,2075-09-22T21:00:00,2075-12-21T18:28:00
2076,2076-03-19T17:37:00,2076-06-20T10:35:00,2076-09-22T02:48:00,2076-12-21T00:12:00
2077,2077-03-19T23:30:00,2077-06-20T16:23:00,2077-09-22T08:35:00,2077-12-21T06:00:00
2078,2078-03-20T05:11:00,2078-06-20T21:58:00,2078-09-22T14:25:00,2078-12-21T11:59:00
2079,2079-03-20T11:03:00,2079-06-21T03:51:00,2079-09-22T20:15:00,2079-12-21T17:46:00
2080,2080-03-19T16:43:00,2080-06-20T09:33:00,2080-09-22T01:55:00,2080-12-20T23:31:00
2081,2081-03-19T22:34:00,2081-06-20T15:16:00,2081-09-22T07:38:00,2081-12-21T05:22:00
2082,2082-03-20T04:32:00,2082-06-20T21:04:00,2082-09-22T13:24:00,2082-12-21T11:06:00
2083,2083-03-20T10:08:00,2083-06-21T02:41:00,2083-09-22T19:10:00,2083-12-21T16:51:00
2084,2084-03-19T15:58:00,2084-06-20T08:39:00,2084-09-22T00:58:00,2084-12-20T22:40:00
2085,2085-03-19T21:53:00,2085-06-20T14:33:00,2085-09-22T06:43:00,2085-12-21T04:29:00
2086,2086-03-20T03:36:00,2086-06-20T20:11:00,2086-09-22T12:33:00,2086-12-21T10:24:00
2087,2087-03-20T09:27:00,2087-06-21T02:05:00,2087-09-22T18:27:00,2087-12-21T16:07:00
2088,2088-03-19T15:16:00,2088-06-20T07:57:00,2088-09-22T00:18:00,2088-12-20T21:56:00
2089,2089-03-19T21:07:00,2089-06-20T13:43:00,2089-09-22T06:07:00,2089-12-21T03:53:00
2090,2090-03-20T03:03:00,2090-06-20T19:37:00,2090-09-22T12:01:00,2090-12-21T09:45:00
2091,2091-03-20T08:40:00,2091-06-21T01:17:00,2091-09-22T17:49:00,2091-12-21T15:37:00
2092,2092-03-19T14:33:00,2092-06-20T07:14:00,2092-09-21T23:41:00,2092-12-20T21:31:00
2093,2093-03-19T20:35:00,2093-06-20T13:08:00,2093-09-22T05:30:00,2093-12-21T03:21:00
2094,2094-03-20T02:20:00,2094-06-20T18:40:00,2094-09-22T11:15:00,2094-12-21T09:11:00
2095,2095-03-20T08:14:00,2095-06-21T00:38:00,2095-09-22T17:10:00,2095-12-21T15:00:00
2096,2096-03-19T14:03:00,2096-06-20T06:31:00,2096-09-21T22:55:00,2096-12-20T20:46:00
2097,2097-03-19T19:49:00,2097-06-20T12:14:00,2097-09-22T04:37:00,2097-12-21T02:38:00
2098,2098-03-20T01:38:00,2098-06-20T18:01:00,2098-09-22T10:22:00,2098-12-21T08:19:00
2099,2099-03-20T07:17:00,2099-06-20T23:41:00,2099-09-22T16:10:00,2099-12-21T14:04:00
2100,2100-03-20T13:04:00,2100-06-21T05:32:00,2100-09-22T22:00:00,2100-12-21T19:51:00
