species_name,genus_name,family_name,order_name
Acaena laevigata,Acaena,Rosaceae,Rosales
Acaena laevigata,Acaena,Rosaceae,Rosales
Acaena laevigata,Acaena,Rosaceae,Rosales
Acaena langei-axelii,Acaena,Rosaceae,Rosales
Acaena lappacea,Acaena,Rosaceae,Rosales
Acaena latebrosa,Acaena,Rosaceae,Rosales
Acaena latifrons,Acaena,Rosaceae,Rosales
Acaena laxa,Acaena,Rosaceae,Rosales
Acaena laxiflora,Acaena,Rosaceae,Rosales
Acaena laxiflora,Acaena,Rosaceae,Rosales
Acaena leptacantha,Acaena,Rosaceae,Rosales
Acaena leptophylla,Acaena,Rosaceae,Rosales
Acaena lividella,Acaena,Rosaceae,Rosales
Acaena longearistata,Acaena,Rosaceae,Rosales
Acaena longiaristata,Acaena,Rosaceae,Rosales
Acaena longifolia,Acaena,Rosaceae,Rosales
Acaena longiscapa,Acaena,Rosaceae,Rosales
Acaena longisepala,Acaena,Rosaceae,Rosales
Acaena longistigma,Acaena,Rosaceae,Rosales
Acaena longistipula,Acaena,Rosaceae,Rosales
Acaena lucida,Acaena,Rosaceae,Rosales
Acaena lucida,Acaena,Rosaceae,Rosales
Acaena lucida,Acaena,Rosaceae,Rosales
Acaena lucidum,Acaena,Rosaceae,Rosales
Acaena macrantha,Acaena,Rosaceae,Rosales
Acaena macrocephala,Acaena,Rosaceae,Rosales
Acaena macrophyes,Acaena,Rosaceae,Rosales
Acaena macropoda,Acaena,Rosaceae,Rosales
Acaena macrorhiza,Acaena,Rosaceae,Rosales
Acaena macrostemon,Acaena,Rosaceae,Rosales
Acaena magellanica,Acaena,Rosaceae,Rosales
Acaena masafuerana,Acaena,Rosaceae,Rosales
Acaena metaphyllidion,Acaena,Rosaceae,Rosales
Acaena micranthera,Acaena,Rosaceae,Rosales
Acaena microcephala,Acaena,Rosaceae,Rosales
Acaena microphylla,Acaena,Rosaceae,Rosales
Acaena millefolia,Acaena,Rosaceae,Rosales
Acaena minor,Acaena,Rosaceae,Rosales
Acaena molliuscula,Acaena,Rosaceae,Rosales
Acaena montana,Acaena,Rosaceae,Rosales
Acaena montana,Acaena,Rosaceae,Rosales
Acaena montana,Acaena,Rosaceae,Rosales
Acaena montevidensis,Acaena,Rosaceae,Rosales
Acaena multifida,Acaena,Rosaceae,Rosales
Acaena multifida,Acaena,Rosaceae,Rosales
Acaena myriophylla,Acaena,Rosaceae,Rosales
Acaena neglecta,Acaena,Rosaceae,Rosales
Acaena niederleinii,Acaena,Rosaceae,Rosales
Acaena niederleinii,Acaena,Rosaceae,Rosales
Acaena nivalis,Acaena,Rosaceae,Rosales
Acaena novae-zelandiae,Acaena,Rosaceae,Rosales
Acaena novae-zelandica,Acaena,Rosaceae,Rosales
Acaena novemdentata,Acaena,Rosaceae,Rosales
Acaena nudicaulis,Acaena,Rosaceae,Rosales
Acaena obscureolivacea,Acaena,Rosaceae,Rosales
Acaena obtusiloba,Acaena,Rosaceae,Rosales
Acaena oearcei,Acaena,Rosaceae,Rosales
Acaena oligacantha,Acaena,Rosaceae,Rosales
Acaena oligodonta,Acaena,Rosaceae,Rosales
Acaena oligoglochin,Acaena,Rosaceae,Rosales
Acaena oligomera,Acaena,Rosaceae,Rosales
Acaena ovalifolia,Acaena,Rosaceae,Rosales
Acaena ovalifolia,Acaena,Rosaceae,Rosales
Acaena ovalis,Acaena,Rosaceae,Rosales
Acaena ovina,Acaena,Rosaceae,Rosales
Acaena pallens,Acaena,Rosaceae,Rosales
Acaena pallida,Acaena,Rosaceae,Rosales
Acaena pallida,Acaena,Rosaceae,Rosales
Acaena parvifolia,Acaena,Rosaceae,Rosales
Acaena parvifoliolata,Acaena,Rosaceae,Rosales
Acaena patagonica,Acaena,Rosaceae,Rosales
Acaena pearcei,Acaena,Rosaceae,Rosales
Acaena pearcei,Acaena,Rosaceae,Rosales
Acaena pectinata,Acaena,Rosaceae,Rosales
Acaena pennatula,Acaena,Rosaceae,Rosales
Acaena peterioides,Acaena,Rosaceae,Rosales
Acaena petiolulata,Acaena,Rosaceae,Rosales
Acaena philippii,Acaena,Rosaceae,Rosales
Acaena philippii,Acaena,Rosaceae,Rosales
Acaena pinnata,Acaena,Rosaceae,Rosales
Acaena pinnatifida,Acaena,Rosaceae,Rosales
Acaena pinnatifida,Acaena,Rosaceae,Rosales
Acaena pinnatifida,Acaena,Rosaceae,Rosales
Acaena pinnatifida,Acaena,Rosaceae,Rosales
Acaena pinnatifida,Acaena,Rosaceae,Rosales
Acaena platyacantha,Acaena,Rosaceae,Rosales
Acaena plioglochin,Acaena,Rosaceae,Rosales
Acaena pluribullata,Acaena,Rosaceae,Rosales
Acaena poeppigiana,Acaena,Rosaceae,Rosales
Acaena poeppigiana,Acaena,Rosaceae,Rosales
Acaena polycarpa,Acaena,Rosaceae,Rosales
Acaena poterioides,Acaena,Rosaceae,Rosales
Acaena poterioides,Acaena,Rosaceae,Rosales
Acaena pringlei,Acaena,Rosaceae,Rosales
Acaena profundeincisa,Acaena,Rosaceae,Rosales
Acaena pseudopoeppigiana,Acaena,Rosaceae,Rosales
Acaena pterocarpa,Acaena,Rosaceae,Rosales
Acaena pulvinata,Acaena,Rosaceae,Rosales
Acaena pumila,Acaena,Rosaceae,Rosales
Acaena pumila,Acaena,Rosaceae,Rosales
Acaena purpureistigma,Acaena,Rosaceae,Rosales
Acaena pusilla,Acaena,Rosaceae,Rosales
Acaena pusilliviridis,Acaena,Rosaceae,Rosales
Acaena quinquefida,Acaena,Rosaceae,Rosales
Acaena rahuensis,Acaena,Rosaceae,Rosales
Acaena rorida,Acaena,Rosaceae,Rosales
Acaena rubescens,Acaena,Rosaceae,Rosales
Acaena rubescentiglauca,Acaena,Rosaceae,Rosales
Acaena saccaticupula,Acaena,Rosaceae,Rosales
Acaena sanguisorbae,Acaena,Rosaceae,Rosales
Acaena sanguisorbae,Acaena,Rosaceae,Rosales
Acaena sarmentosa,Acaena,Rosaceae,Rosales
Acaena sericascens,Acaena,Rosaceae,Rosales
Acaena sericea,Acaena,Rosaceae,Rosales
Acaena sericea,Acaena,Rosaceae,Rosales
Acaena skottsbergii,Acaena,Rosaceae,Rosales
Acaena spec,Acaena,Rosaceae,Rosales
Acaena splendens,Acaena,Rosaceae,Rosales
Acaena stangii,Acaena,Rosaceae,Rosales
Acaena stellaris,Acaena,Rosaceae,Rosales
Acaena stricta,Acaena,Rosaceae,Rosales
Acaena suaveolens,Acaena,Rosaceae,Rosales
Acaena subflaccida,Acaena,Rosaceae,Rosales
Acaena subglabra,Acaena,Rosaceae,Rosales
Acaena subincisa,Acaena,Rosaceae,Rosales
Acaena subnitens,Acaena,Rosaceae,Rosales
Acaena subovalifolia,Acaena,Rosaceae,Rosales
